"","species","radiation","pericycle","cortex","primary_phloem","secondary_phloem","primary_xylem","secondary_xylem","pith","FTM","BIO1","BIO12","BIO17","BIO3","BIO5","BIO14","BIO15","BIO4","Elevation"
"1","Albertinia_brasiliensis",18022.7,"a","b","a","b","a","a","b","b",223.679,1158.05,133.435,66.2321,291.81,38.3036,52.7381,1436.52,419.893
"2","Allocephalus_gamolepis",12814,"a","a","a","a","a","a","a","a",211.667,1033.67,9.5,59,271.833,1.5,70,689.833,478.5
"3","Baccharoides_anthelmintica",17056.2,"a","a","a","a","a","a","a","a",196.5,1066.15,60.05,59.25,268.85,16.1,77.25,1625.2,1061.3
"4","Centratherum_punctatum",17819.9,"a","a","a","a","a","a","a","a",227.861,1521.85,150.89,64.1845,308.382,42.0175,58.52,2010.1,373.558
"5","Chresta_angustifolia",13986.7,"a","a","a","a","a","a","a","a",216.064,1744.72,21.0213,68.1915,286.213,4.14894,79.2979,763.66,919.723
"6","Chresta_filicifolia",13691.1,"a","a","a","a","a","a","a","a",197.778,1089.33,65.1111,58.6667,273.111,19.6667,62.3333,1524.11,517.889
"7","Chresta_martii",18936.1,"a","a","a","a","a","a","a","a",246.21,572.42,19.0769,73.2448,320.965,4.07692,86.8322,1291.22,417.427
"8","Chresta_pacourinoides",19211.4,"a","a","a","a","a","a","a","a",235.179,856.98,39.3112,72.1939,305.954,9.91327,80.102,1180.42,517.546
"9","Chresta_pycnocephala",14623.4,"a","a","a","a","a","a","a","a",207.5,1165.11,22.8889,66.6389,284.861,6.05556,84.3056,1580.25,839.444
"10","Chronopappus_bifrons",14115,"a","a","a","a","a","a","b","b",180.065,1431.1,37.7742,61.5484,260.581,10.9355,80.6129,1740.42,1157.03
"11","Cyrtocymura_scorpioides",17302.1,"a","a","a","a","a","a","a","a",212.329,1494.5,162.961,63.9394,292.427,46.4127,51.1842,1960.34,582.032
"12","Elephantopus_mollis",15444.3,"a","a","a","a","a","a","a","a",217.343,1956.87,174.087,61.5504,297.468,48.858,59.8042,2125.04,593.794
"13","Eremanthus_auriculatus",12903.9,"a","a","a","b","a","a","b","b",198.545,1559,28.5455,63.2727,263.727,5.63636,69.3636,896.545,875.091
"14","Eremanthus_crotonoides",14851.6,"a","a","a","b","a","a","b","b",196.962,1414.72,66.0699,63.6237,276.527,18.8011,73.5269,1867.11,864.516
"15","Eremanthus_erythropappus",15119.5,"b","b","a","b","a","a","b","b",187.578,1498.55,79.6126,63.5346,267.379,22.3139,72.4784,1928.03,1005.15
"16","Eremanthus_incanus",15265.9,"a","b","b","b","a","a","b","b",197.055,1327.79,47.1309,66.0655,276.891,12.9891,78.9091,1715.73,985.811
"17","Gorceixia_decurrens",15726.8,"a","a","b","b","a","a","b","b",215.111,979.417,54.1389,66.1111,292,14.75,74.6667,1559.69,617.889
"18","Gymnanthemum_amygdalinum",15369.1,"a","a","a","a","a","a","a","a",232.144,1594.72,125.055,61.6454,311.755,34.244,64.0698,2039.54,408.231
"19","Heterocoma_ekmaniana",13701.8,"a","b","a","a","a","a","b","b",209.458,1698.42,21.375,66.8333,277.875,4.04167,77.125,744.25,1030.08
"20","Heterocypsela_andersonii",13695.6,"a","a","a","a","a","a","a","a",209.111,897.333,7.77778,60.4444,287.778,1.77778,82.8889,1369.89,513.444
"21","Hololepis_pedunculata",14585.2,"b","b","b","b","a","a","b","b",183.185,1516.56,51.6935,64.9113,262.306,14.4839,79.2903,1845.68,1109.98
"22","Lepidaploa_opposita",14292.2,"a","a","a","a","a","a","a","a",175.583,1237.83,113.75,59.1667,249.417,31.4167,52.9167,1575.75,710.333
"23","Lessingianthus_durus",14405.9,"a","a","a","a","a","a","a","a",223.874,1479.34,29.1145,69.187,298.683,6.96183,78.542,1179.92,821.756
"24","Lessingianthus_monocephalus",14103.8,"a","a","a","a","a","a","a","a",230,1564.22,30.9683,69.7302,306.762,6.95238,76.4444,902.508,701.667
"25","Lychnophora_brunioides",13911,"a","a","a","a","a","a","a","a",184.182,1398.41,36.5909,62.2727,262.273,10.3182,79.8182,1716.05,1003.36
"26","Lychnophora_haplopappa",10305.7,"b","b","b","b","a","a","b","b",124,915.667,58,43.3333,180.333,16.6667,45.3333,1211.33,524.333
"27","Lychnophora_hatschbachii",13735.1,"a","b","a","b","a","a","b","b",186,1274.81,22.4375,59.375,265.938,6.125,81.8125,1642.31,1041.31
"28","Lychnophorella_leucodendron",16920.3,"a","b","a","b","a","a","b","b",176.25,898.55,77.5,67.95,250.7,22.45,55.75,1131,901.9
"29","Lychnophorella_morii",16864.4,"a","a","a","b","a","a","a","b",199.522,832.13,62.5652,68.8696,273.261,15.6522,58.7826,1189.48,721.565
"30","Lychnophorella_santosii",17299.1,"b","b","a","b","a","a","b","b",189.623,913.607,76.6721,70.3934,266.525,21.4918,58,1186.43,939.033
"31","Maschalostachys_mellosilvae",15653.3,"a","b","a","a","a","a","a","b",196.706,836.706,8.47059,67.8235,265.765,2.23529,87.9412,1311.82,941
"32","Minasia_pereirae",14267.3,"b","b","a","a","a","a","b","b",187.84,1423.04,29.18,61.94,270.64,8.42,82.92,1718.96,1133.86
"33","Paralychnophora_harleyi",17330.3,"b","b","b","b","a","b","b","b",203.511,905.859,76.1413,71.1848,278.674,19.9348,57.087,1237.91,798.304
"34","Piptolepis_ericoides",14560.4,"a","b","a","b","a","a","a","b",193.273,1370.36,33.8864,64.7955,274.091,9.67045,83.375,1787.74,1005.44
"35","Soaresia_velutina",13928.6,"a","a","a","a","a","a","a","a",215.974,1547.23,34.8974,67.6154,288.436,7.94872,74.2564,1129.26,793.692
"36","Stilpnopappus_tomentosus",17388.3,"a","a","a","a","a","a","a","a",202.355,827.271,63.1215,70.8692,277.944,16.7196,62.9159,1241.21,847.43
"37","Stokesia_laevis",8308.46,"a","a","a","a","a","a","a","a",168.792,1371.22,268.831,39.75,318.483,79.0975,19.8602,6831.75,185.258
"38","Vernonanthura_patens",14899.8,"a","a","a","a","a","a","a","a",221.735,2070.14,182.472,73.2376,297.934,52.1041,64.4657,1174.32,910.618
"39","Vernonia_gigantea",5721.87,"a","a","a","a","a","a","a","a",120.636,1098.36,210.121,34.1414,295.626,62.4646,19.5455,8267.34,242.96
"40","Vernonia_missurica",4917.91,"a","a","a","a","a","a","a","a",99.6364,870.909,128.545,26.2727,278.818,34.8182,27.1818,9055.45,198.273
